ngram,count
процессов,2
технологий,1
ремонта,1
эксплуатации,2
организация,8
хозяйственного,1
персонала,6
уборщик,2
дворник,1
электрик,1
разнорабочие,1
около,2
человек,3
подчинении,1
взаимодействие,8
арендодателями,1
контролирующими,1
органами,1
многозадачность,1
заявками,1
английский,3
язык,2
другие,1
иностранные,1
языки,1
тоже,1
будут,1
формирование,4
расписания,1
трансферов,1
списков,1
кассой,3
приём,2
звонков,4
обращениями,1
приветствуется,5
обязателен,7
кухни,4
туалета,1
сбор,3
уход,3
офисными,1
растениями,1
готовность,10
физической,2
свежем,1
воздухе,1
поддерживать,2
дворовой,1
сезонная,1
снега,1
листвы,1
состоянием,2
урн,1
своевременное,1
опустошение,1
основ,3
клининга,2
технологии,1
применения,2
организованность,3
дисциплинированность,5
бесконфликтность,1
однократная,1
кв,6
грязи,1
стен,2
оконных,1
рам,1
стекол,1
дверных,1
блоков,1
ковролина,2
релевантный,2
данной,1
позиции,2
организаторский,1
талант,1
сообразительность,1
эффективность,1
положительный,1
настрой,2
высокая,2
степень,1
ответственности,2
печенья,1
конфет,1
фруктов,1
общего,4
бц,1
ведением,1
документооборота,1
компании,6
приказы,1
реестр,1
договоров,2
выставление,3
счетов,3
доступным,1
онлайн,1
часы,1
принимать,1
заявки,1
удаленно,2
сопровождать,1
заселения,1
отвечать,1
сообщения,1
минут,1
вести,1
учет,2
пожеланий,1
состояние,2
апартаментов,1
тех,1
объектах,1
так,1
ориентир,1
полевая,1
недалеко,1
аэропорта,1
бывшая,1
венгерка,1
готовка,1
обеда,1
обычная,1
домашняя,1
еда,1
офиса,12
легко,1
ненавязчиво,1
общаться,1
отзывчивой,1
искренней,1
открытой,1
расти,1
hr-направлении,1
вы,2
будете,2
подчиняться,1
face,1
id,1
регистрацию,1
сопутствующие,1
чек-листу,1
выполнение,3
задач,1
hr,1
мытье,7
генеральная,3
качественная,2
медицинская,1
книжка,1
команде,5
рабочим,1
обязанностям,1
комплексная,1
мойка,1
протирание,2
иметь,1
людьми,1
идеально,1
банном,1
комплексе,2
внимательным,1
особенно,1
плана,2
продаж,1
входящих,2
электронной,2
почты,1
координация,4
внутренних,1
подразделений,1
пармастера,1
инженерно-техническая,1
амосрм,1
задачи,4
утpoм,1
подгoтовкa,1
магазинa,1
oткрытию,1
влажнaя,1
убоpкa,1
пoлa,1
тeчениe,1
поддерживaющaя,1
пpотирка,1
полочeк,1
cтeллaжей,1
взрослый,1
умный,1
состоявшийся,1
высоким,1
уровнем,1
жизни,2
вкусом,1
среда,1
мира,1
осознанность,1
уровень,3
системность,1
личных,1
дел,1
повседневных,1
цветов,1
подарки,1
персоналом,3
повар,1
водитель,1
дизайне,1
строительстве,1
смежной,1
сфере,3
планирования,1
контроля,1
дизайнерской,1
производственной,1
командами,1
своевременного,1
выполнения,2
заказов,2
своевременно,1
давать,1
уборщице,1
конфликтность,3
менее,1
выгрузка,1
контейнеры,1
пылесос,1
пол,1
зона,3
ресепшен,1
туалетов,2
семьях,2
рекомендации,1
сезонных,1
генеральных,1
уборок,2
различными,1
дорогими,1
поверхностями,2
отделочными,1
материалами,1
различных,1
покрытий,1
пятен,2
загрязнений,1
продуктового,1
менеджмента,1
зачем,2
проводятся,1
custdev,1
jtbd-исследования,1
нужны,1
метрики,1
считать,1
вместе,1
более,1
опытными,1
коллегами,1
участвовать,1
всех,1
этапах,1
разработки,1
запуска,1
новых,2
функций,1
продуктах,1
соблюдать,1
график,1
общих,2
зон,6
душевые,2
лестницы,1
хостеле,1
четко,1
грамотно,1
вежливо,1
говорите,1
русском,1
языке,1
компьютера,1
программе,1
документацией,1
деловой,1
переписки,1
составление,3
отчетов,1
отеля,1
должен,1
знать,1
правила,1
использования,2
противопожарной,1
защиты,1
осуществлять,3
руководство,2
уборщиков,1
электриков,1
сантехников,1
техников,1
хозяйственной,1
целью,1
достижения,1
высокого,1
уровня,2
качества,2
оказываемых,1
английского,2
языка,2
в1,1
коммуникативность,1
интенсивной,1
интересной,1
возникающих,1
конфликтных,2
ситуаций,1
других,2
отделов,1
например,1
ремонтных,2
служб,1
возникают,1
проблемы,1
подготовка,2
отчётности,1
администратора,2
хостеса,1
продажах,1
аккаунтинге,1
грамотная,4
устная,3
письменная,3
речь,5
клиентоориентированность,2
содержание,1
студии,1
порядке,1
нужно,1
координировать,1
приход,1
клинера,1
всей,1
командой,1
санитарное,1
производственных,3
графику,1
презентабельный,1
гибкость,1
скрупулезность,1
vip-гардеробом,1
работ,3
резиденции,2
организации,1
обслуживании,1
банкетов,1
организовать,1
рабочее,1
время,3
ежедневную,1
поддерживающую,1
офисно-складских,1
общая,2
площадь,5
подметание,2
складе,2
медицинский,1
центр,1
медицинским,1
сестрам,1
распределяется,1
зонам,1
между,1
сотрудниками,1
размеренная,1
активности,1
зала,2
обеспечить,1
порядок,2
клинике,1
bitrix24,1
программы,3
документооборот,1
закуп,1
канцелярии,1
быт,1
оргтехника,1
канцелярия,1
прием,3
компанию,1
опытом,2
зп,1
руки,1
стирка,4
глажка,4
хорошее,1
настроение,1
течении,1
оборудования,1
мастерам,1
гостям,1
обучаться,1
отсутствие,2
противопоказаний,2
здоровью,1
уборочных,1
автосервиса,1
рабочих,2
клиентских,1
соблюдение,2
санитарных,2
норм,3
развиваться,1
фойе,1
проходных,1
мероприятий,2
коммуникации,1
позитивный,1
найм,2
адаптация,1
официанты,1
бармены,1
хостес,1
графиков,1
выхода,2
решать,3
конфликтные,1
многозадачном,1
режиме,4
сообщений,1
электронных,1
писем,1
юридических,1
лиц,1
координирование,1
общение,1
гостями,1
атмосферы,1
трудолюбие,4
исполнительская,1
дисциплина,1
административном,1
здании,1
приготовление,2
дезинфицирующих,2
растворов,1
внутренней,1
стороны,1
специальной,1
уборочной,1
раз,1
среднем,1
часа,1
утилизация,1
освобождение,1
мусорных,1
корзин,1
помещениях,3
кабинетов,3
раздаток,1
-общая,1
раздача,1
еды,2
посуды,5
желателен,2
медицинских,1
учреждениях,1
клиникa,1
прoвoдит,1
кoнcультaтивный,1
пациeнтов,1
ультрaзвуковыe,1
исслeдoвания,1
aмбулaтoрные,1
малоинвазивные,1
операции,1
дезинфекция,1
журнала,1
физическому,3
труду,3
вежливое,1
жильцам,1
подработки,1
желанию,1
только,1
работников,1
подъезда,1
жилом,1
уборщиком,1
лобби,1
лестничные,1
клетки,1
лифты,1
холлы,3
полное,1
среднее,2
образование,5
чистящими,1
разговорный,1
товарных,1
запасов,1
всему,1
готовы,1
обучить,1
сами,1
большим,1
актуализация,1
базы,1
линейных,1
бригад,1
объекты,1
первыми,1
лицами,2
продукта,1
люксового,1
любой,1
ниже,1
в2,2
проведении,1
корпоративных,1
деловых,1
благоприятной,1
обстановки,1
коллективе,1
активное,1
участие,1
кабинета,1
один,1
vip,1
пoддержаниe,1
пopядка,1
чиcтoты,1
меcтаx,1
oбщегo,1
пользoвaния,1
прoвeдeние,1
суxой,1
вип,1
помещении,1
класса,1
входных,1
тамбуров,1
холлов,1
гардеробных,1
др,1
чистоплотная,1
исполнительная,2
трудолюбивая,1
спокойная,1
отсутствии,1
основных,1
отпусков,1
болезни,1
совместно,1
другими,1
уборщицами,1
убирается,1
отсутствующего,1
работника,1
дополнительную,1
плату,1
особенностей,1
направлении,1
ответственный,2
подход,2
честность,1
сан,1
узлов,1
кофемашины,1
торгового,1
склада,2
подсобных,1
холодильников,1
витрин,1
весового,1
любовь,1
кабинетах,1
отделах,1
правил,1
необходимых,1
высокий,1
деликатности,1
управление,1
домашним,1
няни,1
репетиторы,1
учителя,1
водители,1
клинеры,2
питания,2
тренировок,1
встреч,1
напоминаний,1
энергичность,1
хозяйственность,1
преимуществом,1
физически,1
корректность,1
общении,1
мест,3
пользования,3
подъезды,1
лифтовые,1
зоны,1
информирование,1
пополнения,1
грамотную,1
убеждать,1
способность,2
конфликты,1
ориентацию,1
ты,2
формируешь,1
мнение,1
делая,1
отдых,1
незабываемым,1
оперативная,1
квартир,1
заселению,1
хаус-мастер,1
технических,1
рф,1
рб,1
скромная,1
тщательная,1
поддерживающая,1
сложными,1
обед,1
мойщиком,1
ресторанах,1
общепите,1
обучаемость,1
столовой,1
применением,1
всего,1
зале,1
кухне,1
оптимальных,1
условий,1
хранения,2
применяемых,1
проведения,1
регулярных,1
соответствии,1
санитарными,1
нормативами,1
кофе-леди,1
официантом,1
руководством,1
сервировки,1
подачи,1
напитков,1
продуктов,1
чая,1
приборов,1
обслуживание,1
руководства,1
чистки,1
текстиля,2
выведения,1
дорогих,2
тканей,2
стирки,1
глажки,1
графике,1
высшее,2
оргтехники,1
жизнедеятельности,1
закупка,1
воды,1
канцтоваров,1
обслуживающего,1
грузчики,1
учёт,1
распределение,1
поступающей,1
именно,1
кинотеатре,1
дисциплинированный,1
шустрый,1
умеешь,2
держать,2
процесс,1
под,1
контролем,1
любишь,1
руководить,1
кассиры,1
билетёры,1
чтобы,1
всё,1
шло,1
ровно,1
слаженно,1
делать,1
заказы,1
качественной,1
состояния,1
банкетные,1
залы,1
либо,2
спа-центре,1
операционного,1
подразделениями,1
системный,1
внедрять,1
процедуры,1
сроки,1
фокус,1
операционной,1
деятельностью,1
технические,1
службы,1
дворники,1
диспетчеры,1
аварийка,1
бухгалтерия,1
подрядчики,1
исполнения,1
заявок,3
обращений,1
жителей,1
наведение,1
загородный,1
дом,1
ищем,1
горничную,1
возможностью,1
выезда,1
заграницу,1
спа,1
комплекса,1
смена,1
постельного,1
белья,1
домашнего,1
сборе,1
разборе,1
чемоданов,1
поручений,1
без,1
рекрутинге,1
рассматриваем,1
ждем,1
вас,1
ваши,1
закрытие,1
персонал,1
объектам,1
лгр-групп,1
контактными,1
закреплённого,1
участка,1
удалять,1
машин,1
приспособлений,1
стены,1
полы,1
потолки,1
оконные,1
действующей,1
санитарной,1
книжки,1
её,1
оформить,1
менеджера,1
старшего,1
официанта,1
роли,1
pos-системами,1
пробитие,1
pos-системе,1
бумага,1
производственного,1
руководит,1
содержанию,1
подразделения,1
обслуживаемое,1
подразделение,1
хозяйственным,1
спецодеждой,1
предметами,1
гигиены,1
канцелярскими,1
принадлежностями,1
моющими,1
профессиональное,2
подготовки,1
специалистов,1
среднего,1
звена,1
бакалавриат,1
дополнительное,1
профессиональной,1
переподготовки,1
техническим,1
хаус-мастера,1
управляющая,1
компания,1
пропусков,1
лаборатория,1
производства,1
стеллажей,1
полок,1
производство,1
чистое,1
медицинские,1
изделия,1
открыть,1
ип,1
успешной,1
адаптации,1
посуточной,1
арендой,1
минимальная,1
правовая,1
чувство,1
интерьерного,1
стиля,1
бесперебойной,1
мелких,1
собственниками,1
возникающим,1
